index,coeff,stder,p_val,0.025,0.975
cbot_armb,3.99e-17,0.124,1.0,-0.249,0.249
ta_sfc,0.0886,0.186,0.636,-0.285,0.462
LTS,-0.3378,0.201,0.099,-0.741,0.066
rh_850,-0.4205,0.205,0.046,-0.833,-0.008
omega_500,0.0764,0.14,0.588,-0.205,0.358
wspd_sfc,-0.1578,0.157,0.32,-0.474,0.158
SS,-0.2796,0.195,0.158,-0.672,0.112
DU,0.0003,0.159,0.998,-0.32,0.32
BC,0.3616,0.352,0.31,-0.347,1.07
OC,-0.2219,0.324,0.497,-0.873,0.43
SO2,0.1176,0.157,0.458,-0.198,0.434
SO4,-0.0714,0.218,0.744,-0.509,0.366
DMS,0.1501,0.202,0.462,-0.257,0.557
