index,coeff,stder,p_val,0.025,0.975
cdepth_armb,-6.765e-17,0.079,1.0,-0.159,0.159
ta_sfc,0.2255,0.119,0.064,-0.014,0.465
LTS,0.1526,0.129,0.242,-0.106,0.411
rh_850,0.7357,0.132,0.0,0.471,1.0
omega_500,-0.2576,0.09,0.006,-0.438,-0.077
wspd_sfc,-0.004,0.101,0.969,-0.206,0.198
SS,0.0247,0.125,0.844,-0.227,0.276
DU,0.1115,0.102,0.28,-0.094,0.317
BC,0.2421,0.226,0.289,-0.212,0.696
OC,-0.1123,0.208,0.592,-0.53,0.306
SO2,-0.2893,0.101,0.006,-0.492,-0.087
SO4,-0.2924,0.14,0.041,-0.573,-0.012
DMS,-0.0288,0.13,0.826,-0.29,0.232
