index,coeff,stder,p_val,0.025,0.975
cfrac_avglayer_shup,4.077e-17,0.083,1.0,-0.166,0.166
ta_sfc,0.0559,0.124,0.654,-0.193,0.305
LTS,0.0643,0.134,0.634,-0.205,0.334
rh_850,0.7212,0.137,0.0,0.446,0.997
omega_500,-0.2884,0.094,0.003,-0.476,-0.1
wspd_sfc,-0.0971,0.105,0.359,-0.308,0.114
SS,0.0162,0.13,0.901,-0.246,0.278
DU,0.1486,0.106,0.169,-0.065,0.362
BC,0.3716,0.235,0.121,-0.102,0.845
OC,-0.1423,0.217,0.514,-0.578,0.293
SO2,-0.2805,0.105,0.01,-0.492,-0.069
SO4,-0.4056,0.145,0.008,-0.698,-0.113
DMS,0.0947,0.135,0.487,-0.177,0.366
