index,coeff,stder,p_val,0.025,0.975
ctop_armb,-1.561e-17,0.091,1.0,-0.182,0.182
ta_sfc,0.1467,0.136,0.287,-0.127,0.42
LTS,-0.0603,0.147,0.684,-0.356,0.236
rh_850,0.5775,0.15,0.0,0.275,0.88
omega_500,-0.2603,0.103,0.015,-0.467,-0.054
wspd_sfc,-0.1614,0.115,0.167,-0.393,0.07
SS,-0.0403,0.143,0.779,-0.328,0.247
DU,0.1717,0.117,0.148,-0.063,0.406
BC,0.5781,0.258,0.03,0.059,1.097
OC,-0.2313,0.238,0.335,-0.709,0.246
SO2,-0.2362,0.115,0.046,-0.468,-0.005
SO4,-0.517,0.16,0.002,-0.838,-0.196
DMS,0.1872,0.148,0.213,-0.111,0.485
