index,coeff,stder,p_val,0.025,0.975
iwp_avglayer,5.378e-17,0.111,1.0,-0.223,0.223
ta_sfc,0.1803,0.167,0.284,-0.154,0.515
LTS,0.1117,0.18,0.538,-0.25,0.474
rh_850,0.496,0.184,0.01,0.126,0.866
omega_500,-0.2042,0.126,0.111,-0.457,0.048
wspd_sfc,0.0284,0.141,0.841,-0.255,0.312
SS,0.2629,0.175,0.139,-0.089,0.614
DU,0.1478,0.143,0.306,-0.139,0.435
BC,0.0237,0.316,0.941,-0.612,0.659
OC,-0.0864,0.291,0.768,-0.671,0.498
SO2,-0.1342,0.141,0.346,-0.418,0.149
SO4,-0.3024,0.195,0.128,-0.695,0.09
DMS,-0.1302,0.181,0.477,-0.495,0.235
