index,coeff,stder,p_val,0.025,0.975
lwp_avglayer,5.204e-17,0.112,1.0,-0.225,0.225
ta_sfc,0.1771,0.168,0.296,-0.16,0.514
LTS,-0.2898,0.181,0.117,-0.654,0.075
rh_850,-0.0466,0.185,0.803,-0.419,0.326
omega_500,-0.072,0.127,0.572,-0.326,0.182
wspd_sfc,0.1895,0.142,0.188,-0.096,0.475
SS,-0.1244,0.176,0.484,-0.478,0.23
DU,-0.1288,0.144,0.375,-0.418,0.16
BC,-0.0536,0.318,0.867,-0.693,0.586
OC,0.0363,0.293,0.902,-0.552,0.625
SO2,-0.423,0.142,0.005,-0.709,-0.138
SO4,0.0373,0.197,0.85,-0.358,0.433
DMS,-0.0964,0.183,0.6,-0.464,0.271
