index,coeff,stder,p_val,0.025,0.975
slf_avglayer,9.411e-17,0.098,1.0,-0.196,0.196
ta_sfc,0.155,0.146,0.295,-0.139,0.449
LTS,0.2014,0.158,0.209,-0.117,0.519
rh_850,-0.5491,0.162,0.001,-0.874,-0.224
omega_500,0.2147,0.11,0.058,-0.007,0.437
wspd_sfc,0.1697,0.124,0.177,-0.079,0.418
SS,-0.0985,0.154,0.525,-0.407,0.21
DU,-0.2152,0.126,0.093,-0.467,0.037
BC,-0.4362,0.278,0.123,-0.994,0.122
OC,0.2419,0.255,0.348,-0.272,0.755
SO2,0.0729,0.124,0.559,-0.176,0.322
SO4,0.3626,0.172,0.04,0.018,0.707
DMS,0.0221,0.159,0.891,-0.298,0.342
