index,coeff,stder,p_val,0.025,0.975
cdepth_armb,-6.939e-17,0.106,1.0,-0.213,0.213
ta_sfc,-0.1392,0.189,0.466,-0.52,0.241
LTS,-0.3267,0.186,0.085,-0.7,0.047
rh_850,0.4045,0.15,0.01,0.103,0.706
wspd_sfc,0.0363,0.134,0.788,-0.234,0.307
omega_500,-0.2469,0.111,0.031,-0.471,-0.023
lhf_qcecor,0.0652,0.135,0.633,-0.207,0.338
shf_qcecor,0.0583,0.121,0.632,-0.185,0.302
SS,0.2091,0.136,0.131,-0.064,0.482
DU,0.1728,0.152,0.261,-0.133,0.478
BC,0.1929,0.176,0.278,-0.16,0.546
SO4,-0.2344,0.211,0.272,-0.658,0.189
