index,coeff,stder,p_val,0.025,0.975
slf_avglayer,3.192e-16,0.106,1.0,-0.214,0.214
ta_sfc,0.337,0.19,0.083,-0.046,0.72
LTS,0.3386,0.187,0.076,-0.037,0.714
rh_850,-0.3082,0.151,0.046,-0.611,-0.005
wspd_sfc,-0.2464,0.135,0.075,-0.518,0.026
omega_500,0.0108,0.112,0.924,-0.215,0.236
lhf_qcecor,-0.1815,0.136,0.189,-0.456,0.093
shf_qcecor,-0.1667,0.122,0.177,-0.411,0.078
SS,-0.167,0.137,0.228,-0.442,0.108
DU,-0.0999,0.153,0.517,-0.407,0.208
BC,-0.298,0.177,0.098,-0.653,0.057
SO4,0.2609,0.212,0.224,-0.165,0.687
